# smp6: Smrithi Muktha Phalam Part 6.pdf
# edit the 'class' column by hand after looking at smp/smp6_review/review.html; auto_class is kept so a disagreement stays visible
# classes: text toc front picture blank
page	class	auto_class	reason
1	picture	picture	colour scan (check: could be text) ink=34.0% leaders=0 ocr_chars=129
2	front	front	before the contents ink=7.3% leaders=0 ocr_chars=543
3	front	front	before the contents ink=2.9% leaders=0 ocr_chars=439
4	picture	picture	colour scan (check: could be text) ink=27.5% leaders=0 ocr_chars=0
5	front	front	before the contents ink=9.4% leaders=0 ocr_chars=989
6	front	front	before the contents ink=9.7% leaders=0 ocr_chars=876
7	picture	picture	colour scan (check: could be text) ink=18.5% leaders=0 ocr_chars=4
8	front	front	before the contents ink=8.8% leaders=0 ocr_chars=1730
9	front	front	before the contents ink=9.2% leaders=0 ocr_chars=1845
10	picture	picture	colour scan (check: could be text) ink=11.2% leaders=0 ocr_chars=0
11	front	front	before the contents ink=8.1% leaders=0 ocr_chars=1355
12	toc	toc	ink=7.4% leaders=12 ocr_chars=1322
13	toc	toc	ink=8.1% leaders=15 ocr_chars=1594
14	toc	toc	ink=7.6% leaders=21 ocr_chars=1724
15	toc	toc	ink=7.1% leaders=20 ocr_chars=1650
16	text	text	ink=5.9% leaders=0 ocr_chars=393
17	text	text	ink=10.1% leaders=0 ocr_chars=1532
18	text	text	ink=11.3% leaders=0 ocr_chars=1823
19	text	text	ink=11.3% leaders=0 ocr_chars=1741
20	text	text	ink=10.9% leaders=0 ocr_chars=1803
21	text	text	ink=11.0% leaders=0 ocr_chars=1739
22	text	text	ink=10.5% leaders=0 ocr_chars=1666
23	text	text	ink=10.8% leaders=0 ocr_chars=1401
24	text	text	ink=10.1% leaders=0 ocr_chars=2046
25	text	text	ink=10.9% leaders=0 ocr_chars=1790
26	text	text	ink=10.8% leaders=0 ocr_chars=1748
27	text	text	ink=9.5% leaders=0 ocr_chars=2012
28	text	text	ink=10.4% leaders=0 ocr_chars=1740
29	text	text	ink=10.1% leaders=0 ocr_chars=1433
30	text	text	ink=11.4% leaders=0 ocr_chars=1742
31	text	text	ink=11.0% leaders=0 ocr_chars=1990
32	text	text	ink=11.3% leaders=0 ocr_chars=1847
33	text	text	ink=10.8% leaders=0 ocr_chars=1987
34	text	text	ink=10.7% leaders=0 ocr_chars=1793
35	text	text	ink=11.7% leaders=0 ocr_chars=2069
36	text	text	ink=9.3% leaders=0 ocr_chars=1835
37	text	text	ink=10.9% leaders=0 ocr_chars=2111
38	text	text	ink=11.7% leaders=0 ocr_chars=1814
39	text	text	ink=10.5% leaders=0 ocr_chars=1788
40	text	text	ink=11.3% leaders=0 ocr_chars=1995
41	text	text	ink=9.6% leaders=0 ocr_chars=1776
42	text	text	ink=11.0% leaders=0 ocr_chars=1683
43	text	text	ink=11.2% leaders=0 ocr_chars=1343
44	text	text	ink=10.7% leaders=0 ocr_chars=2617
45	text	text	ink=11.8% leaders=0 ocr_chars=1700
46	text	text	ink=10.3% leaders=0 ocr_chars=1743
47	text	text	ink=9.7% leaders=0 ocr_chars=1599
48	text	text	ink=11.2% leaders=0 ocr_chars=1762
49	text	text	ink=10.4% leaders=0 ocr_chars=1738
50	text	text	ink=10.1% leaders=0 ocr_chars=1694
51	text	text	ink=9.1% leaders=0 ocr_chars=1611
52	text	text	ink=11.8% leaders=0 ocr_chars=1562
53	text	text	ink=11.5% leaders=0 ocr_chars=1629
54	text	text	ink=13.0% leaders=0 ocr_chars=1649
55	text	text	ink=11.6% leaders=0 ocr_chars=1606
56	text	text	ink=11.5% leaders=0 ocr_chars=1651
57	text	text	ink=11.7% leaders=0 ocr_chars=1753
58	text	text	ink=11.7% leaders=0 ocr_chars=1685
59	text	text	ink=11.0% leaders=0 ocr_chars=1464
60	text	text	ink=10.7% leaders=0 ocr_chars=1516
61	text	text	ink=11.8% leaders=0 ocr_chars=1589
62	text	text	ink=11.4% leaders=0 ocr_chars=1591
63	text	text	ink=11.5% leaders=0 ocr_chars=1590
64	text	text	ink=10.8% leaders=0 ocr_chars=1911
65	text	text	ink=11.3% leaders=0 ocr_chars=1696
66	text	text	ink=11.5% leaders=0 ocr_chars=1609
67	text	text	ink=11.5% leaders=0 ocr_chars=1828
68	text	text	ink=12.2% leaders=0 ocr_chars=1808
69	text	text	ink=11.4% leaders=0 ocr_chars=1578
70	text	text	ink=11.3% leaders=0 ocr_chars=1790
71	text	text	ink=10.4% leaders=0 ocr_chars=1257
72	text	text	ink=12.1% leaders=0 ocr_chars=2030
73	text	text	ink=11.7% leaders=0 ocr_chars=1803
74	text	text	ink=11.7% leaders=0 ocr_chars=1687
75	text	text	ink=11.4% leaders=0 ocr_chars=1640
76	text	text	ink=11.1% leaders=0 ocr_chars=1781
77	text	text	ink=10.8% leaders=0 ocr_chars=1860
78	text	text	3 dot leaders but no contents run nearby ink=12.6% leaders=3 ocr_chars=1868
79	text	text	ink=11.0% leaders=0 ocr_chars=1847
80	text	text	ink=11.6% leaders=0 ocr_chars=1597
81	text	text	ink=11.5% leaders=0 ocr_chars=1477
82	text	text	ink=10.4% leaders=0 ocr_chars=1552
83	text	text	ink=11.3% leaders=0 ocr_chars=1767
84	text	text	ink=12.9% leaders=0 ocr_chars=1957
85	text	text	ink=12.6% leaders=0 ocr_chars=1620
86	text	text	ink=12.0% leaders=0 ocr_chars=1678
87	text	text	ink=10.9% leaders=0 ocr_chars=1672
88	text	text	ink=11.7% leaders=0 ocr_chars=1656
89	text	text	ink=11.9% leaders=0 ocr_chars=1713
90	text	text	ink=12.4% leaders=0 ocr_chars=1959
91	text	text	ink=11.7% leaders=0 ocr_chars=1698
92	text	text	ink=11.9% leaders=0 ocr_chars=1779
93	text	text	ink=11.3% leaders=0 ocr_chars=1718
94	text	text	ink=11.7% leaders=0 ocr_chars=1700
95	text	text	ink=11.5% leaders=0 ocr_chars=1575
96	text	text	ink=11.2% leaders=1 ocr_chars=1876
97	text	text	ink=9.6% leaders=0 ocr_chars=1437
98	text	text	ink=11.0% leaders=0 ocr_chars=1825
99	text	text	ink=10.3% leaders=0 ocr_chars=1614
100	text	text	ink=11.1% leaders=0 ocr_chars=1477
101	text	text	ink=10.8% leaders=0 ocr_chars=1539
102	text	text	ink=10.8% leaders=0 ocr_chars=1945
103	text	text	ink=11.3% leaders=0 ocr_chars=1596
104	text	text	ink=11.2% leaders=0 ocr_chars=1648
105	text	text	ink=11.2% leaders=0 ocr_chars=1678
106	text	text	ink=11.3% leaders=0 ocr_chars=1628
107	text	text	ink=10.7% leaders=0 ocr_chars=1535
108	text	text	ink=11.2% leaders=0 ocr_chars=1538
109	text	text	ink=11.6% leaders=0 ocr_chars=1828
110	text	text	ink=11.4% leaders=0 ocr_chars=1706
111	text	text	ink=11.7% leaders=0 ocr_chars=1621
112	text	text	ink=10.9% leaders=0 ocr_chars=1505
113	text	text	ink=11.9% leaders=0 ocr_chars=1733
114	text	text	ink=11.7% leaders=0 ocr_chars=1878
115	text	text	ink=11.5% leaders=0 ocr_chars=1607
116	text	text	ink=12.7% leaders=0 ocr_chars=1966
117	text	text	ink=11.1% leaders=0 ocr_chars=1610
118	text	text	ink=12.1% leaders=0 ocr_chars=1650
119	text	text	ink=12.1% leaders=0 ocr_chars=1814
120	text	text	ink=12.7% leaders=0 ocr_chars=1669
121	text	text	ink=11.7% leaders=0 ocr_chars=1630
122	text	text	ink=12.9% leaders=0 ocr_chars=1830
123	text	text	ink=11.7% leaders=0 ocr_chars=1801
124	text	text	ink=12.3% leaders=0 ocr_chars=1706
125	text	text	ink=11.7% leaders=0 ocr_chars=1424
126	text	text	ink=12.2% leaders=0 ocr_chars=1625
127	text	text	ink=12.6% leaders=0 ocr_chars=1748
128	text	text	ink=11.8% leaders=0 ocr_chars=1673
129	text	text	ink=12.1% leaders=0 ocr_chars=1878
130	text	text	ink=10.9% leaders=0 ocr_chars=1658
131	text	text	ink=11.6% leaders=0 ocr_chars=1371
132	text	text	ink=12.2% leaders=0 ocr_chars=1691
