# smp7: Smrithimukthaphalam Part 7.pdf
# edit the 'class' column by hand after looking at smp/smp7_review/review.html; auto_class is kept so a disagreement stays visible
# classes: text toc front picture blank
page	class	auto_class	reason
1	picture	picture	colour scan (check: could be text) ink=57.8% leaders=0 ocr_chars=0
2	front	front	before the contents ink=8.1% leaders=0 ocr_chars=463
3	front	front	before the contents ink=3.6% leaders=0 ocr_chars=445
4	picture	picture	colour scan (check: could be text) ink=28.5% leaders=0 ocr_chars=4
5	front	front	before the contents ink=9.1% leaders=0 ocr_chars=952
6	front	front	before the contents ink=9.4% leaders=0 ocr_chars=886
7	picture	picture	colour scan (check: could be text) ink=55.1% leaders=0 ocr_chars=1
8	front	front	before the contents ink=10.3% leaders=0 ocr_chars=1837
9	front	front	before the contents ink=11.6% leaders=0 ocr_chars=1960
10	picture	picture	colour scan (check: could be text) ink=37.1% leaders=0 ocr_chars=0
11	front	front	before the contents ink=12.2% leaders=0 ocr_chars=2137
12	front	front	before the contents ink=11.4% leaders=0 ocr_chars=2020
13	front	front	before the contents ink=12.7% leaders=0 ocr_chars=1932
14	front	front	before the contents ink=11.8% leaders=0 ocr_chars=2256
15	picture	picture	colour scan (check: could be text) ink=20.7% leaders=0 ocr_chars=0
16	front	front	before the contents ink=11.4% leaders=0 ocr_chars=2284
17	front	front	before the contents ink=11.3% leaders=0 ocr_chars=2139
18	front	front	before the contents ink=11.5% leaders=0 ocr_chars=1953
19	front	front	before the contents ink=11.1% leaders=0 ocr_chars=1772
20	front	front	before the contents ink=10.1% leaders=2 ocr_chars=2040
21	front	front	before the contents ink=11.8% leaders=0 ocr_chars=1877
22	front	front	before the contents ink=11.7% leaders=0 ocr_chars=1885
23	front	front	before the contents ink=9.8% leaders=0 ocr_chars=2430
24	front	front	before the contents ink=10.5% leaders=0 ocr_chars=2106
25	front	front	before the contents ink=10.0% leaders=0 ocr_chars=1794
26	front	front	before the contents ink=11.2% leaders=0 ocr_chars=1726
27	front	front	before the contents ink=9.6% leaders=0 ocr_chars=1859
28	front	front	before the contents ink=9.6% leaders=0 ocr_chars=2092
29	front	front	before the contents ink=10.6% leaders=0 ocr_chars=2356
30	front	front	before the contents ink=11.2% leaders=0 ocr_chars=2144
31	front	front	before the contents ink=10.6% leaders=0 ocr_chars=2084
32	front	front	before the contents ink=10.0% leaders=0 ocr_chars=2163
33	front	front	before the contents ink=11.5% leaders=0 ocr_chars=1768
34	front	front	before the contents ink=8.7% leaders=0 ocr_chars=1386
35	toc	toc	ink=6.5% leaders=15 ocr_chars=1521
36	toc	toc	ink=6.8% leaders=11 ocr_chars=1523
37	toc	toc	ink=7.9% leaders=14 ocr_chars=1592
38	toc	toc	ink=9.4% leaders=19 ocr_chars=1890
39	toc	toc	ink=9.5% leaders=19 ocr_chars=1956
40	toc	toc	ink=9.8% leaders=16 ocr_chars=1948
41	toc	toc	ink=7.0% leaders=14 ocr_chars=1412
42	text	text	ink=6.4% leaders=0 ocr_chars=541
43	text	text	ink=12.1% leaders=0 ocr_chars=1704
44	text	text	ink=12.0% leaders=0 ocr_chars=1555
45	text	text	ink=11.5% leaders=0 ocr_chars=2165
46	text	text	ink=11.6% leaders=0 ocr_chars=1607
47	text	text	ink=12.0% leaders=0 ocr_chars=1960
48	text	text	ink=11.3% leaders=0 ocr_chars=1733
49	text	text	ink=12.4% leaders=0 ocr_chars=1743
50	text	text	ink=12.6% leaders=0 ocr_chars=472
51	text	text	ink=11.6% leaders=0 ocr_chars=1930
52	text	text	ink=12.2% leaders=0 ocr_chars=1775
53	text	text	ink=12.7% leaders=0 ocr_chars=1689
