printed_page	sa	ta	pdf_page	note	malformed
1	मङ्गलाचरणम्	மங்களாசரணம்	17		
3	प्रतिज्ञा	ப்ரதிக்ஞை	17		
3	धर्मप्रमाणानि	தர்மப்ரமாணங்கள்	17		
6	स्मृतिप्रामाण्यम्	ஸ்ம்ருதிப்ராமாண்யம்	17		
8	धर्मः	தர்மம்	17		
10	शिष्टाः	சிஷ்டர்கள்	17		
12	धर्मानुष्ठानफलम्	தர்மாநுஷ்டான பலம்	17		
14	आचारप्रशंसा	ஆசாரப்ரசம்ஸை	17		
18	सदाचारः	ஸதாசாரம்	17		
20	स्मृत्यादिप्रशंसा	ஸ்ம்ருத்யாதிப்ரசம்ஸை	17		
24	श्रुतिः स्मृतिश्च	ச்ருதி - ஸ்ம்ருதி	17		
29	स्मृत्यादिकर्तारः	ஸ்ம்ருத்யாதி கர்த்தாக்கள்	17		
32	पूर्वापरसूत्राणि	பூர்வாபர ஸூத்ரங்கள்	17		
33	धर्मदेशाः	தர்மதேசங்கள்	17		
35	ब्राह्मणवासार्हा देशाः	பிராமணர் வஸிப்பதற்குரிய தேசங்கள்	17		
37	सौराष्ट्रादिदेशगमननिषेधः	ஸௌராஷ்ட்ரம் முதலிய தேசங்களுக்குச் செல்லத் தடை	17		
38	निषिद्धदेशापवादः	நிஷித்த தேசாபவாதம்	17		
40	युगधर्माः	யுக தர்மங்கள்	17		
43	कलियुगदोषाः	கலியுக தோஷங்கள்	17		
43	युगसामर्थ्यम् -	யுக ஸாமர்த்யம்	18		
50	कलौ भगवन्नामकीर्तनम् -	கலியில் பகவன்னாம கீர்த்தனம்	18		
51	कलौ निषिद्धा धर्मा: -	கலியுக நிஷித்த தர்மங்கள்	18		
55	कर्मपरिभाषा -	கர்மபரிபாஷை	18		
64	सृष्टिप्रकार: -	ஸ்ருஷ்டிப்பிரகாரம்	18		
70	वर्णधर्म: -	வர்ண தர்மங்கள்	18		
73	यजनम् -	யஜனம்	18		
76	पाकयज्ञादि -	பாகயக்ஞங்கள் முதலியவை	18		
78	अग्निहोत्रप्रशंसा -	அக்னிஹோத்ரப்ரசம்ஸை	18		
