seq	printed_page	grade	found_sa	found_ta	ratio	sa	ta	matched	note
1	2	unmatched				निमेषादिकालावयवाः -	நிமிஷம் முதலிய காலப் பகுதிகள்		
2	3	unmatched				तिथिः - खण्डतिथिश्च -	திதி - கண்டதிதி		
3	5	unmatched				प्रथमातिथिनिर्णयः -	பிரதமை திதி நிர்ணயம்		
4	17	unmatched				एकभक्तव्रतम् -	ஏகபக்த விரதம்		
5	20	confirmed	20	21	1.00	नक्तव्रतम् -	நக்தவிரதம்	नक्तव्रतम् ।	
6	31	unmatched				द्वितीयानिर्णयः -	த்விதீயை நிர்ணயம்		
7	32	confirmed	32		1.00	तृतीयानिर्णयः -	திருதீயை நிர்ணயம்	तृतीयानिर्णयः ।	
8	32	unmatched				चतुर्थी निर्णयः -	சதுர்த்தி நிர்ணயம்		
9	34	unmatched	138	138	0.90	पञ्चमीनिर्णयः -	பஞ்சமீ நிர்ணயம்	பஞ்சதசீ நிர்ணயம்	nearest heading is on 138 and reads 'பஞ்சதசீ நிர்ணயம்' — too unlike to call
10	34	unmatched				षष्ठीनिर्णयः -	ஷஷ்டீ நிர்ணயம்		
11	35	unmatched				सप्तमीनिर्णयः -	ஸப்தமீ நிர்ணயம்		
12	36	unmatched				अष्टमीनिर्णयः -	அஷ்டமீ நிர்ணயம்		
13	37	unmatched				गोकुलाष्टमी कृष्णजयन्ती -	கோகுலாஷ்டமீ - க்ருஷ்ண ஜயந்தீ		
14	56	confirmed	56	56	1.00	नवमीनिर्णयः -	நவமீ நிர்ணயம்	नवमीनिर्णयः	
15	57	unmatched				श्रीरामनवमी -	ஸ்ரீராமநவமீ		
16	62	confirmed	62		0.86	दशावतारकलः -	தசாவதார காலம்	दशावतारकाला:	
17	64	confirmed	64	64	1.00	दशमीनिर्णयः -	தசமீ நிர்ணயம்	दशमीनिर्णयः	
18	65	confirmed	65	65	1.00	एकादशीनिर्णयः -	ஏகாதசி நிர்ணயம்	एकादशीनिर्णयः ।	
19	67	unmatched				वैष्णवस्मार्तैकादशी -	வைஷ்ணவ ஸ்மார்த்த ஏகாதசி		
20	90	unmatched				एकादश्युपवास योग्याः -	ஏகாதசி உபவாஸத்திற்கு ஏற்றவர்		
